Venue,dist_from_home,drive_time,capacity
Cactus Club,9.5,15,150
The Riverside Theater,5.5,12,2450
Vivarium,5.5,16,450
The Rave,4.9,10,1000
Riverwalk Commons,6.4,12,100
Pabst Theater,4.9,14,1279
88Nine Radio Milwaukee Studios,7.3,13,100
X-Ray Arcade,13.8,21,275
The Rave/Eagles Club,4.9,10,100
Miller High Life Theatre,4.5,13,4086
"Peck Pavilion, Marcus Center for the Performing Arts",4.8,14,396
Humboldt Park,11.1,17,100
Summerfest,7.1,11,10000
Summerfest Grounds at Henry Maier Festival Park-M & I Bank Classic Rock Stage,7.1,11,10000
Henry Maier Festival Park,7.1,11,10000
Summerfest Grounds at Henry Maier Festival Park,7.1,11,10000
Thalia Hall,97.7,94,800
Turner Hall Ballroom,4.5,13,987
Liliput Records,5.3,16,120
Paradigm Coffee,56.8,60,90
Riviera Theatre,91.5,94,2500
Linneman's Riverwest Inn,4.2,12,160
Marcus Center for the Performing Arts,4.8,14,2125
Marcus Performing Arts Center,4.8,14,2125
Pool Studios,5.1,12,250
